t,tau_R
4.259999999999931,inf
4.264999999999931,inf
4.269999999999931,inf
4.274999999999931,inf
4.279999999999931,inf
4.284999999999931,inf
4.289999999999931,inf
4.294999999999931,inf
4.2999999999999305,inf
4.30499999999993,inf
4.30999999999993,inf
4.31499999999993,inf
4.31999999999993,inf
4.32499999999993,inf
4.32999999999993,inf
4.33499999999993,inf
4.33999999999993,inf
4.34499999999993,inf
4.3499999999999295,inf
4.354999999999929,inf
4.359999999999929,inf
4.364999999999929,inf
4.369999999999929,inf
4.374999999999929,inf
4.379999999999929,inf
4.384999999999929,inf
4.389999999999929,inf
4.3949999999999285,inf
4.399999999999928,inf
4.404999999999928,inf
4.409999999999928,inf
4.414999999999928,inf
4.419999999999928,inf
4.424999999999928,inf
4.429999999999928,inf
4.434999999999928,inf
4.439999999999928,inf
4.4449999999999275,inf
4.449999999999927,inf
4.454999999999927,inf
4.459999999999927,inf
4.464999999999927,inf
4.469999999999927,inf
4.474999999999927,inf
4.479999999999927,inf
4.484999999999927,inf
4.4899999999999265,inf
4.494999999999926,inf
4.499999999999926,inf
4.504999999999926,inf
4.509999999999926,inf
4.514999999999926,inf
4.519999999999926,inf
4.524999999999926,inf
4.529999999999926,inf
4.5349999999999255,inf
4.539999999999925,inf
4.544999999999925,inf
4.549999999999925,inf
4.554999999999925,inf
4.559999999999925,inf
4.564999999999925,inf
4.569999999999925,inf
4.574999999999925,inf
4.579999999999925,inf
4.5849999999999245,inf
4.589999999999924,inf
4.594999999999924,inf
4.599999999999924,inf
4.604999999999924,inf
4.609999999999924,inf
4.614999999999924,inf
4.619999999999924,inf
4.624999999999924,inf
4.6299999999999235,inf
4.634999999999923,inf
4.639999999999923,inf
4.644999999999923,inf
4.649999999999923,inf
4.654999999999923,inf
4.659999999999923,inf
4.664999999999923,inf
4.669999999999923,inf
4.6749999999999226,inf
4.6799999999999224,inf
4.684999999999922,inf
4.689999999999922,inf
4.694999999999922,inf
4.699999999999922,inf
4.704999999999922,inf
4.709999999999922,inf
4.714999999999922,inf
4.719999999999922,inf
4.7249999999999215,inf
4.729999999999921,inf
4.734999999999921,inf
4.739999999999921,inf
4.744999999999921,inf
4.749999999999921,inf
4.754999999999921,inf
4.759999999999921,inf
4.764999999999921,inf
4.7699999999999205,inf
4.77499999999992,inf
4.77999999999992,inf
4.78499999999992,inf
4.78999999999992,inf
4.79499999999992,inf
4.79999999999992,inf
4.80499999999992,inf
4.80999999999992,inf
4.81499999999992,inf
4.8199999999999195,inf
4.824999999999919,inf
4.829999999999919,inf
4.834999999999919,inf
4.839999999999919,inf
4.844999999999919,inf
4.849999999999919,inf
4.854999999999919,inf
4.859999999999919,inf
4.8649999999999185,inf
4.869999999999918,inf
4.874999999999918,inf
4.879999999999918,inf
4.884999999999918,inf
4.889999999999918,inf
4.894999999999918,inf
4.899999999999918,inf
4.904999999999918,inf
4.9099999999999175,inf
4.914999999999917,inf
4.919999999999917,inf
4.924999999999917,inf
4.929999999999917,inf
4.934999999999917,inf
4.939999999999917,inf
4.944999999999917,inf
4.949999999999917,inf
4.954999999999917,inf
4.9599999999999165,inf
4.964999999999916,inf
4.969999999999916,inf
4.974999999999916,inf
4.979999999999916,inf
4.984999999999916,inf
4.989999999999916,inf
4.994999999999916,inf
4.999999999999916,inf
5.0049999999999155,inf
5.009999999999915,inf
5.014999999999915,inf
5.019999999999915,inf
5.024999999999915,inf
5.029999999999915,inf
5.034999999999915,inf
5.039999999999915,inf
5.044999999999915,inf
5.049999999999915,inf
5.0549999999999145,inf
5.059999999999914,inf
5.064999999999914,inf
5.069999999999914,inf
5.074999999999914,inf
5.079999999999914,inf
5.084999999999914,inf
5.089999999999914,inf
5.094999999999914,inf
5.0999999999999135,inf
5.104999999999913,inf
5.109999999999913,inf
5.114999999999913,inf
5.119999999999913,inf
5.124999999999913,inf
5.129999999999913,inf
5.134999999999913,inf
5.139999999999913,inf
5.1449999999999125,inf
5.149999999999912,inf
5.154999999999912,inf
5.159999999999912,inf
5.164999999999912,inf
5.169999999999912,inf
5.174999999999912,inf
5.179999999999912,inf
5.184999999999912,inf
5.189999999999912,inf
5.1949999999999115,inf
5.199999999999911,inf
5.204999999999911,inf
5.209999999999911,inf
5.214999999999911,inf
5.219999999999911,inf
5.224999999999911,0.05
5.229999999999911,inf
5.234999999999911,inf
5.2399999999999105,0.05
5.24499999999991,inf
5.24999999999991,inf
5.25499999999991,inf
5.25999999999991,inf
5.26499999999991,inf
5.26999999999991,0.05
5.27499999999991,inf
5.27999999999991,inf
