t,omega,F,S,C,tau_R,IC,kappa,kappa_cum,omega_gate,S_gate,C_gate,regime_gate
0.2950000000000001,0.9071083515881964,0.0928916484118035,0.9680372417543528,0.4736217626088373,inf,0.4078622776692741,-0.8968256917764895,-0.2353946233297349,0.06572516973201141,0.14563764354328987,0.08413802837050371,Stable
0.3000000000000001,0.904498822709678,0.0955011772903221,0.9679323808094812,0.6096595778261846,inf,0.4099692009778706,-0.8916732172794929,-0.2398529894161324,0.06553609449291685,0.14562186759970824,0.10830489412677954,Stable
0.3050000000000001,0.8357919036651381,0.1642080963348618,0.9667887244781675,0.6624536433961172,inf,0.4670341198291353,-0.7613529408377827,-0.2436597541203213,0.06055788664370063,0.14544980870989319,0.11768366203273374,Stable
0.3100000000000001,0.904498822709678,0.0955011772903221,0.966372104706949,0.1968779246401112,inf,0.4099692009778706,-0.8916732172794929,-0.2481181202067187,0.06553609449291685,0.1453871297972267,0.03497499844105872,Stable
0.3150000000000001,0.930330721352872,0.069669278647128,0.9660518036990324,0.5800330321235122,inf,0.3893285307793995,-0.943331713979792,-0.2528347787766177,0.06740776276700061,0.14533894168833436,0.10304179318918558,Stable
0.3200000000000002,0.8357919036651381,0.1642080963348618,0.9685994211767336,0.3689502171152628,inf,0.4670341198291353,-0.7613529408377827,-0.2566415434808066,0.06055788664370063,0.14572222137024998,0.06554332229996279,Stable
0.3250000000000002,0.8359946356082361,0.1640053643917639,0.968443662156826,0.5460368458562739,inf,0.4668616309389141,-0.7617223372898958,-0.2604501551672561,0.06057257572835836,0.14569878799843172,0.09700243370349361,Stable
0.3300000000000002,0.930330721352872,0.069669278647128,0.9710410809536496,0.3949171912849523,inf,0.3893285307793995,-0.943331713979792,-0.2651668137371551,0.06740776276700061,0.1460895601056896,0.0701563071369579,Stable
0.3350000000000002,0.930330721352872,0.069669278647128,0.9684864549784102,0.4166850267225325,inf,0.3893285307793995,-0.943331713979792,-0.269883472307054,0.06740776276700061,0.14570522602108962,0.07402332276040216,Stable
0.3400000000000002,0.8799008039931131,0.1200991960068869,0.9701856188802034,0.3856799491068937,inf,0.4300584046240541,-0.8438342315581112,-0.2741026434648446,0.06375382785146566,0.1459608589822787,0.06851532818328471,Stable
