t,omega,F,S,C,tau_R,IC,kappa,kappa_cum
1.6400000000000001,0.34954170396675827,0.6504582960332417,0.9269292136680143,0.5773113947745669,0.6299999999999999,0.8027271777169906,-0.2197403640843311,-0.39134993484554875
1.6500000000000001,0.37259381854514756,0.6274061814548524,0.9344387318198883,0.6444434395375687,0.6299999999999999,0.8205555750202357,-0.19777362544466814,-0.39332767109999545
1.6600000000000001,0.37259381854514756,0.6274061814548524,0.9440811195265508,0.7286073619877715,0.6299999999999999,0.8048644535705799,-0.21708138397440058,-0.3954984849397395
1.67,0.37259381854514756,0.6274061814548524,0.9451339005807214,0.7903982754984817,0.6299999999999999,0.8503528863097376,-0.1621038435287735,-0.39711952337502726
1.68,0.37259381854514756,0.6274061814548524,0.9284707044211152,0.6786543983362134,0.6299999999999999,0.7960507404576395,-0.22809233831380496,-0.39940044675816533
1.69,0.5251876478036287,0.4748123521963713,0.9284379137573366,0.4146384113814589,0.6299999999999999,0.7021645423872267,-0.3535874973149017,-0.4029363217313144
1.7,0.3628708966734042,0.6371291033265958,0.9239961793499046,0.6791788518788462,0.6299999999999999,0.8502115216506275,-0.1622700996930345,-0.4045590227282447
1.71,0.3628708966734042,0.6371291033265958,0.9246636064421071,0.28946981126148363,0.6299999999999999,0.8015414271277784,-0.22121860879569027,-0.40677120881620155
1.72,0.3628708966734042,0.6371291033265958,0.9265482590351835,0.2121263207078514,0.6299999999999999,0.7435645897187848,-0.2962996308861737,-0.4097342051250633
1.73,0.3628708966734042,0.6371291033265958,0.9248140700213197,0.5499401741384675,0.6299999999999999,0.6562124249265793,-0.4212707087313313,-0.41394691221237667
1.74,0.17475931600641864,0.8252406839935813,0.9249140034799231,0.24570975799703906,0.6299999999999999,0.7301960213633125,-0.31444224477494215,-0.4170913346601261
1.75,0.11308533182994483,0.8869146681700552,0.9237270164919776,0.13404609900935938,0.6299999999999999,0.7371020243357115,-0.30502895087249393,-0.4201416241688511
1.76,0.09848586412374656,0.9015141358762534,0.9235609094281662,0.32033653631325837,0.6299999999999999,0.7309827865501209,-0.313365353640452,-0.4232752777052556
1.77,0.11308533182994483,0.8869146681700552,0.9233451667310651,0.21867505925154268,0.6299999999999999,0.7217423530245066,-0.3260870416873056,-0.42653614812212864
1.78,0.09848586412374656,0.9015141358762534,0.9229923517354496,0.520280763893326,0.49,0.6773368668251338,-0.38958652743238853,-0.43043201339645254
1.79,0.09848586412374656,0.9015141358762534,0.921940529536154,0.5067505947922923,0.49,0.7695702582124633,-0.26192301315696864,-0.43305124352802216
1.8,0.15766445233670853,0.8423355476632914,0.9232393131326054,0.3947752028120488,0.49,0.7325844229140367,-0.31117667795677717,-0.43616301030758997
1.81,0.1841778806531424,0.8158221193468576,0.9265180294765877,0.46178455422445697,0.49,0.7762348517840358,-0.2533001476520997,-0.43869601178411094
